Name,Heading,Text,Link
Susanne Vollhardt,How SAP Business Technology Platform (BTP) drives speed and value around the core,"Today we will unlock how BTP drives speed and value around the core processes for organizations on their way to the intelligent, sustainable enterprise. Furthermore, we will shed some light on engagements combining the strength of Business Process... Read More »",https://blogs.sap.com/2023/03/01/how-sap-business-technology-platform-btp-drives-speed-and-value-around-the-core/
Susanne Vollhardt,How SAP Business Technology Platform (BTP) drives speed and value around the core,"Today we will unlock how BTP drives speed and value around the core processes for organizations on their way to the intelligent, sustainable enterprise. Furthermore, we will shed some light on engagements combining the strength of Business Process... Read More »",https://blogs.sap.com/2023/03/01/how-sap-business-technology-platform-btp-drives-speed-and-value-around-the-core/
Susanne Vollhardt,How SAP Business Technology Platform (BTP) drives speed and value around the core,"Today we will unlock how BTP drives speed and value around the core processes for organizations on their way to the intelligent, sustainable enterprise. Furthermore, we will shed some light on engagements combining the strength of Business Process... Read More »",https://blogs.sap.com/2023/03/01/how-sap-business-technology-platform-btp-drives-speed-and-value-around-the-core/
Susanne Vollhardt,How SAP Business Technology Platform (BTP) drives speed and value around the core,"Today we will unlock how BTP drives speed and value around the core processes for organizations on their way to the intelligent, sustainable enterprise. Furthermore, we will shed some light on engagements combining the strength of Business Process... Read More »",https://blogs.sap.com/2023/03/01/how-sap-business-technology-platform-btp-drives-speed-and-value-around-the-core/
Rich Blumberg,Business Teams Can Create Their Own Apps (with Occasional Help!),"Inspired by the growing opportunity for business professionals to leverage Low-code/No-code (LCNC) tools, I decided to take the SAP Build LCNC Learning Journey, share a few thoughts, and encourage fellow business Citizen Developers to join the SAP... Read More »",https://blogs.sap.com/2023/03/01/business-teams-can-create-their-own-apps-with-occasional-help/
Rich Blumberg,Business Teams Can Create Their Own Apps (with Occasional Help!),"Inspired by the growing opportunity for business professionals to leverage Low-code/No-code (LCNC) tools, I decided to take the SAP Build LCNC Learning Journey, share a few thoughts, and encourage fellow business Citizen Developers to join the SAP... Read More »",https://blogs.sap.com/2023/03/01/business-teams-can-create-their-own-apps-with-occasional-help/
Rich Blumberg,Business Teams Can Create Their Own Apps (with Occasional Help!),"Inspired by the growing opportunity for business professionals to leverage Low-code/No-code (LCNC) tools, I decided to take the SAP Build LCNC Learning Journey, share a few thoughts, and encourage fellow business Citizen Developers to join the SAP... Read More »",https://blogs.sap.com/2023/03/01/business-teams-can-create-their-own-apps-with-occasional-help/
Rich Blumberg,Business Teams Can Create Their Own Apps (with Occasional Help!),"Inspired by the growing opportunity for business professionals to leverage Low-code/No-code (LCNC) tools, I decided to take the SAP Build LCNC Learning Journey, share a few thoughts, and encourage fellow business Citizen Developers to join the SAP... Read More »",https://blogs.sap.com/2023/03/01/business-teams-can-create-their-own-apps-with-occasional-help/
Antoine CHABERT,One Predictive Planning & Smart Predict Blog to Find Them All!,"
SAP Analytics Cloud Smart Predict has been released in 2018 and Predictive Planning in 2020.
In the last couple years, we had numerous blogs created in the SAP community.
I thought it was a good time to recap what we have available and group these... Read More »",https://blogs.sap.com/2023/03/01/one-predictive-planning-smart-predict-blog-to-find-them-all/
Antoine CHABERT,One Predictive Planning & Smart Predict Blog to Find Them All!,"
SAP Analytics Cloud Smart Predict has been released in 2018 and Predictive Planning in 2020.
In the last couple years, we had numerous blogs created in the SAP community.
I thought it was a good time to recap what we have available and group these... Read More »",https://blogs.sap.com/2023/03/01/one-predictive-planning-smart-predict-blog-to-find-them-all/
